station_id,station_name,lat,lon,elevation,source,type_mes,mmask,is_snotel,swq_valid_count,snd_valid_count,swq_completeness,snd_completeness,BOUNDING_BOX_COORDS,POUR_POINT_COORDS,Watershed_Name
SNOTEL-400,CLEAR CREEK #2,39.89275,-111.25154,2388.7466,Snotel US network,2,1,True,15450,6734,49.37364182538669,21.519877284929056,39.99275/-111.35154/39.79275/-111.15154,39.89275/-111.25154,SNOTEL_400
SNOTEL-924,WEST YELLOWSTONE,44.65866,-111.09199,2042.1848,Snotel US network,2,1,True,15449,6659,49.370446120414165,21.280199411990285,44.75866/-111.191986/44.558662/-110.99199,44.65866/-111.09199,SNOTEL_924
SNOTEL-813,TEPEE CREEK,44.78562,-111.71,2438.4297,Snotel US network,2,1,True,15445,7105,49.357663300524095,22.70548382973284,44.88562/-111.81/44.685623/-111.61,44.78562/-111.71,SNOTEL_813
SNOTEL-381,CALVERT CREEK,45.8838,-113.32553,1959.8878,Snotel US network,2,1,True,15444,6646,49.354467595551576,21.23865524734757,45.9838/-113.42553/45.783802/-113.22553,45.8838/-113.32553,SNOTEL_381
SNOTEL-311,BANFIELD MOUNTAIN,48.5712,-115.44573,1706.9008,Snotel US network,2,1,True,15443,7432,49.35127189057906,23.75047935574588,48.6712/-115.54573/48.471203/-115.34573,48.5712/-115.44573,SNOTEL_311
SNOTEL-858,WHISKEY CREEK,44.61088,-111.14998,2072.6653,Snotel US network,2,1,True,15442,7119,49.348076185606544,22.75022369934808,44.71088/-111.24998/44.510883/-111.04998,44.61088/-111.14998,SNOTEL_858
SNOTEL-360,BOULDER MOUNTAIN,46.5596,-111.28973,2423.1895,Snotel US network,2,1,True,15440,7477,49.34168477566151,23.89428607950914,46.6596/-111.389725/46.459602/-111.18973,46.5596/-111.28973,SNOTEL_360
SNOTEL-760,SKALKAHO SUMMIT,46.24212,-113.7725,2209.827,Snotel US network,2,1,True,15439,7083,49.33848907068899,22.635178320337467,46.342117/-113.8725/46.14212/-113.6725,46.24212/-113.7725,SNOTEL_760
SNOTEL-787,STAHL PEAK,48.90902,-114.86298,1837.9663,Snotel US network,2,1,True,15438,6657,49.33529336571648,21.273808002045254,49.009018/-114.96298/48.80902/-114.762985,48.90902/-114.86298,SNOTEL_787
SNOTEL-568,LAKEVIEW RIDGE,44.58907,-111.82498,2255.5474,Snotel US network,2,1,True,15436,7046,49.32890195577144,22.51693723635434,44.689068/-111.92498/44.48907/-111.72498,44.58907/-111.82498,SNOTEL_568
